3.967285156250000000e-01 3.967285156250000000e-01 3.967285156250000000e-01 3.967285156250000000e-01
6.591796875000000000e+00 6.683349609375000000e+00 6.591796875000000000e+00 6.683349609375000000e+00
1.770019531250000000e+00 1.861572265625000000e+00 1.770019531250000000e+00 1.861572265625000000e+00
3.967285156250000000e-01 3.967285156250000000e-01 3.967285156250000000e-01 3.967285156250000000e-01
4.882812500000000000e-01 5.187988281250000000e-01 3.967285156250000000e-01 5.187988281250000000e-01
3.967285156250000000e-01 5.187988281250000000e-01 3.967285156250000000e-01 5.187988281250000000e-01
3.967285156250000000e-01 3.967285156250000000e-01 3.967285156250000000e-01 3.967285156250000000e-01
4.882812500000000000e-01 4.882812500000000000e-01 4.882812500000000000e-01 6.103515625000000000e-01
4.882812500000000000e-01 4.882812500000000000e-01 4.882812500000000000e-01 5.798339843750000000e-01
4.882812500000000000e-01 4.882812500000000000e-01 4.882812500000000000e-01 5.187988281250000000e-01
