TT,07,27,21,12,35,26,994785
100
S,9939,41632080,41632082,41632100,41632272
EC, 201,63855,   0,64056
ER,64034,  13,   8
EC, 203,64853,   0,65057
ER,65035,  13,   8
EC, 206,65850,   0,66057
ER,66035,  13,   8
encrypt, 43295028,43295046
S,9939,43295026,43295028,43295046,43295218
EC, 210,66847,   0,67058
ER,67036,  13,   8
EC, 213,67844,   0,68058
ER,68036,  13,   8
EC, 216,68842,   0,69059
ER,69037,  13,   8
EC, 218,69841,   0,70059
ER,70037,  13,   8
EC, 221,70839,   0,71060
ER,71038,  13,   8
EC, 223,71837,   0,72061
ER,72038,[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  30, 991,   0,1021
ER,1012,   1,   8
decrypt, 1076330,1076350
encrypt, 1076676,1076694
htfin:1076854
#,#decrypt, 1080426,1080444
encrypt, 1080596,1080610
p,3996,1080596,1080598,1080610,1080770
EC,  64,1957,   0,2022
ER,2009,   4,   8
EC, 101,2921,   0,3023
ER,3009,   4,   8
EC, 127,3895,   0,4023
ER,4009,   5,   8
EC, 151,4872,   0,5023
ER,5010,   5,   8
EC, 181,5843,   0,6024
ER,6010,   5,   8
EC, 207,6817,   0,7025
ER,7011,   5,   8
EC, 242,7783,   0,8025
ER,8011,   5,   8
EC, 273,8751,   0,9025
ER,9011,   5,   8
EC, 308,9717,   0,10026
ER,10012,   5,   8
EC, 343,10683,   0,11027
ER,11013,   5,   8
EC, 371,11656,   0,12027
ER,12013,   5,   8
EC, 410,12617,   0,13028
ER,13014,   5,   8
EC, 457,13571,   0,14029
ER,14014,   6,   8
EC, 504,14524,   0,15029
ER,15014,   6,   8
EC, 556,15473,   0,16030
ER,16015,   6,   8
EC, 609,16420,   0,17030
ER,17015,   6,   8
EC, 681,17349,   0,18031
ER,18016,   6,   8
EC, 747,18284,   0,19031
ER,19016,   6,   8
EC, 812,19219,   0,20032
ER,20017,   6,   8
EC, 876,20156,   0,21032
ER,21017,   6,   8
EC, 929,21103,   0,22033
ER,22018,   6,   8
EC, 982,22051,   0,23034
ER,23019,   6,   8
EC,1032,23002,   0,24034
ER,24018,   7,   8
EC,1070,23965,   0,25035
ER,25019,   7,   8
EC,1116,24918,   0,26035
ER,26019,   7,   8
EC,1162,25873,   0,27036
ER,27020,   7,   8
EC,1209,26826,   0,28036
ER,28021,   7,   8
