
EC,8010,55045,   0,63056
ER,63004,  43,   8
EC,8011,56044,   0,64056
ER,64004,  43,   8
EC,8011,57044,   0,65056
ER,65005,  43,   8
EC,8012,58045,   0,66057
ER,66006,  43,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 52229
[INFO: Main   [INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 52229
[INFO: Main      ] Link-layer address: 0012.4b00.0f1b.cc05
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:f1b:cc05
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
inicio:19286
Press a button to request /test/hello
ep: coap://[fd00::212:4b00:a55:dd05], 0, 23
si1
seguro 1: 668330
i,39627,668432,668446
|oximeter
es un oximetro jeje
n,39628,671944,671958
allconected=1
EC,1016,   5,   0,1021
ER,1011,   1,   8
o,36,39628,675698l
o,36,10185,678262l
o,36,10186,686462l
o,36,10187,696192l
o,36,10188,705928l
o,36,10189,716174l
o,36,10190,727956l
o,36,10191,738200l
o,36,10192,746040l
o,36,10193,759212l
o,36,10194,769458l
o,36,10195,778676l
o,36,10196,787898l
o,36,10197,799170l
o,36,10198,808390l
o,36,10199,817766l
ep: coap://[fd00::212:4b00:1204:ffd3], 0, 24
si1
seguro 2: 826188
i,39629,826290,826306
o,36,10200,828350l
|pressure
es un esfingo
allconected=2
o,36,10201,839544l
o,36,10202,849280l
o,36,10203,860040l
n,10204,870798,870812
o,36,10204,870944l
o,36,10205,881560l
o,36,10206,890274l
o,36,10207,903080l
o,36,10208,910766l
o,36,10209,923572l
o,36,10210,933306l
o,36,10211,942016l
o,36,10212,954314l
o,36,10213,963538l
o,36,10214,973272l
o,36,10215,982136l
o,36,10216,992270l
ep: coap://[fd00::212:4b00:1204:dc39], 0, 24
si1
seguro 3: 1004790
i,39630,1004898,1004916
o,36,10217,1005584l
|termometer
es un termometro
allconected=3
o,36,10218,1013274l
o,36,10219,1024546l
o,36,10220,1034282l
o,36,10221,1043666l
o,36,10222,1055604l
o,36,10223,1065336l
n,10224,1075584,1075598
o,36,10224,1075740l
o,36,10225,1087372l
o,36,10226,1096082l
o,36,10227,1107350l
o,36,10228,1115710l
o,36,10229,1128352l
o,36,10230,1139112l
o,36,10231,1147310l
o,36,10232,1158072l
o,36,10233,1168828l
o,36,10234,1177540l
o,36,10235,1187436l
o,36,10236,1199994l
o,36,10237,1207844l
o,36,10238,1218954l
o,36,10239,1229710l
o,36,10240,1239958l
o,36,10241,1251744l
o,36,10242,1273770l
o,36,10243,1274074l
n,10244,1280886,1280900
o,36,10244,1281042l
o,36,10245,1292714l
o,36,10246,1301932l
o,36,10247,1313202l
o,36,10248,1321914l
EC,2004,  17,   0,2021
ER,2010,   2,   8
o,36,10249,1330792l
o,36,10250,1341824l
o,36,10251,1354122l
o,36,10252,1363854l
o,36,10253,1373076l
o,36,10254,1381948l
o,36,10255,1393528l
o,36,10256,1403262l
o,36,10257,1412998l
o,36,10258,1425806l
o,36,10259,1434516l
o,36,10260,1445786l
o,36,10261,1454498l
o,36,10262,1464742l
o,36,10263,1476468l
n,10264,1485178,1485192
o,36,10264,1485336l
o,36,10265,1495430l
o,36,10266,1506186l
o,36,10267,1518480l
o,36,10268,1528212l
o,36,10269,1537438l
o,36,10270,1546658l
o,36,10271,1557418l
o,36,10272,1567152l
o,36,10273,1577400l
o,36,10274,1589694l
o,36,10275,1597950l
o,36,10276,1608198l
o,36,10277,1620496l
o,36,10278,1631252l
o,36,10279,1639450l
o,36,10280,1649696l
o,36,10281,1660968l
o,36,10282,1670702l
o,36,10283,1679906l
n,10284,1691692,1691708
o,36,10284,1691850l
o,36,10285,1701942l
o,36,10286,1712188l
o,36,10287,1723254l
o,36,10288,1731448l
o,36,10289,1741696l
o,36,10290,1753994l
o,36,10291,1761678l
o,36,10292,1773974l
o,36,10293,1784222l
o,36,10294,1792420l
o,36,10295,1802316l
o,36,10296,1813876l
o,36,10297,1825662l
o,36,10298,1835396l
o,36,10299,1843246l
o,36,10300,1856400l
o,36,10301,1865620l
o,36,10302,1873982l
o,36,10303,1884540l
n,10304,1894784,1894798
o,36,10304,1894940l
