 MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: M[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  23, 998,   0,1021
ER,1011,   1,   8
p,42699,750760,750772
EC,  26,1995,   0,2022
ER,2012,   2,   8
EC,  29,2993,   0,3022
ER,3011,   2,   8
EC,  32,3991,   0,4023
ER,4012,   3,   8
EC,  34,4988,   0,5023
ER,5012,   3,   8
EC,  37,5987,   0,6024
ER,6013,   3,   8
EC,  39,6985,   0,7024
ER,7013,   3,   8
EC,  42,7982,   0,8025
ER,8013,   3,   8
EC,  45,8980,   0,9026
ER,9013,   3,   8
EC,  51,9974,   0,10026
ER,10014,   3,   8
EC,  53,10973,   0,11027
ER,11015,   3,   8
EC,  56,11971,   0,12027
ER,12015,   3,   8
EC,  59,12969,   0,13028
ER,13016,   4,   8
EC,  61,13966,   0,14028
ER,14015,   4,   8
EC,  64,14965,   0,15029
ER,15016,   4,   8
EC,  66,15963,   0,16029
ER,16017,   4,   8
EC,  69,16960,   0,17030
ER,17017,   4,   8
EC,  72,17959,   0,18031
ER,18018,   4,   8
EC,  75,18956,   0,19031
ER,19018,   4,   8
EC,  77,19954,   0,20032
ER,20019,   4,   8
EC,  81,20951,   0,21032
ER,21019,   4,   8
EC,  84,21948,   0,22033
ER,22019,   4,   8
EC,  87,22945,   0,23033
ER,23020,   4,   8
EC,  90,23944,   0,24034
ER,24021,   4,   8
EC,  93,24941,   0,25034
ER,25021,   5,   8
EC,  96,25939,   0,26035
ER,26021,   5,   8
EC, 103,26932,   0,27036
ER,27022,   5,   8
EC, 107,27929,   0,28036
ER,28023,   5,   8
EC, 112,28924,   0,29036
ER,29023,   5,   8
EC, 115,29921,   0,30037
ER,30024,   5,   8
EC, 120,30917,   0,31038
ER,31024,   5,   8
EC, 122,31915,   0,32038
ER,32024,   5,   8
EC, 126,32912,   0,33039
ER,33025,   5,   8
EC, 131,33908,   0,34040
ER,34026,   5,   8
EC, 134,34906,   0,35040
ER,35026,   5,   8
EC, 137,35903,   0,36040
ER,36026,   5,   8
EC, 141,36899,   0,37041
ER,37027,   5,   8
EC, 145,37896,   0,38041
ER,38027,   5,   8
EC, 149,38893,   0,39043
ER,39029,   5,   8
EC, 152,39891,   0,40043
ER,40029,   5,   8
EC, 154,40889,   0,41043
ER,41029,   5,   8
EC, 156,41887,   0,42044
ER,42030,   5,   8
EC, 158,42886,   0,43044
ER,43031,   5,   8
EC, 160,43884,   0,44045
ER,44031,   5,   8
EC, 162,44883,   0,45046
ER,45032,   5,   8
EC, 164,45882,   0,46046
ER,46032,   5,   8
EC, 166,46880,   0,47046
ER,47032,   6,   8
EC, 168,47879,   0,48047
ER,48033,   6,   8
EC, 170,48878,   0,49048
ER,49033,   6,   8
EC, 171,49876,   0,50048
ER,50033,   6,   8
EC, 173,50875,   0,51049
ER,51034,   6,   8
EC, 175,51874,   0,52049
ER,52035,   6,   8
EC, 177,52872,   0,53050
ER,53035,   6,   8
EC, 179,53871,   0,54050
ER,54036,   6,   8
EC, 181,54870,   0,55051
ER,55036,   6,   8
EC, 183,55868,   0,56052
ER,56037,   6,   8
EC, 185,56867,   0,57052
ER,57037,   6,   8
EC, 187,57866,   0,58053
ER,58038,   6,   8
EC, 188,58864,   0,59053
ER,59038,   6,   8
