TT,07,29,21,20,46,23,924282
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  29, 992,   0,1021
ER,1013,   0,   8
EC,  38,1983,   0,2022
ER,2013,   0,   8
EC,  48,2974,   0,3022
ER,3012,   1,   8
decrypt, 2032060,2032078
encrypt, 2032406,2032424
htfin:2032584
#,#decrypt, 2043884,2043902
encrypt, 2044054,2044068
p,10251,2044052,2044054,2044068,2044228
EC,  94,3929,   0,4023
ER,4011,   4,   8
EC, 139,4884,   0,5023
ER,5010,   4,   8
EC, 187,5837,   0,6024
ER,6011,   4,   8
EC, 218,6806,   0,7025
ER,7012,   4,   8
EC, 269,7756,   0,8025
ER,8012,   4,   8
EC, 308,8717,   0,9026
ER,9012,   5,   8
EC, 337,9689,   0,10026
ER,10012,   6,   8
EC, 361,10666,   0,11027
ER,11012,   6,   8
EC, 398,11629,   0,12027
ER,12012,   6,   8
EC, 436,12592,   0,13028
ER,13014,   6,   8
EC, 479,13549,   0,14029
ER,14014,   6,   8
EC, 502,14527,   0,15029
ER,15014,   6,   8
EC, 539,15491,   0,16030
ER,16015,   6,   8
EC, 578,16451,   0,17030
ER,17015,   6,   8
EC, 623,17407,   0,18031
ER,18016,   6,   8
EC, 666,18365,   0,19031
ER,19016,   6,   8
EC, 704,19328,   0,20032
ER,20017,   6,   8
EC, 738,20294,   0,21033
ER,21018,   6,   8
EC, 790,21243,   0,22033
ER,22018,   6,   8
EC, 824,22209,   0,23033
ER,23018,   6,   8
EC, 869,23165,   0,24034
ER,24019,   6,   8
EC, 894,24140,   0,25034
ER,25019,   6,   8
EC, 927,25107,   0,26035
ER,26020,   6,   8
EC, 959,26077,   0,27036
ER,27020,   7,   8
EC, 998,27038,   0,28036
ER,28021,   7,   8
EC,1038,27998,   0,29037
ER,29021,   7,   8
EC,1068,28968,   0,30037
ER,30021,   7,   8
EC,1106,29932,   0,31038
ER,31023,   7,   8
EC,1150,30888,   0,32038
ER,32022,   7,   8
EC,1182,31857,   0,33039
ER,33023,   7,   8
decrypt, 21713528,21713546
llego jejeje
encrypt, 21713784,21713798
n,10259,21713782,21713784,21713798,21713968
encrypt, 21714230,21714250
S,49543,21714230,21714232,21714250,21714418
encrypt, 22011436,22011454
S,49543,22011434,22011436,22011454,22011626
EC,1213,32825,   0,34039
ER,34023,   8,   8
encrypt, 22605446,22605464
S,49543,22605444,22605446,22605464,22605636
EC,1239,33801,   0,35040
ER,35023,   8,   8
EC,1278,34763,   0,36041
ER,36024,   8,   8
encrypt, 23794592,23794610
S,49543,23794590,23794592,23794610,23794782
EC,1314,35726,   0,37041
ER,37023,   8,   8
EC,1353,36688,   0,38042
ER,38025,   8,   8
EC,1395,37647,   0,39042
ER,39025,   8,   8
encrypt, 26170834,26170854
S,49543,26170834,26170834,26170854,26171024
EC,1430,38612,   0,40043
ER,40025,   9,   8
EC,1459,39583,   0,41043
ER,41025,   9,   8
EC,1487,40556,   0,42044
ER,42026,   9,   8
EC,1523,41521,   0,43045
ER,43027,   9,   8
EC,1552,42492,   0,44045
ER,44027,   9,   8
EC,1580,43464,   0,45045
ER,45027,   9,   8
EC,1607,44439,   0,46046
ER,46028,   9,   8
EC,1643,45403,   0,47047
ER,47029,   9,   8
EC,1673,46374,   0,48047
ER,48030,   9,   8
EC,1701,47346,   0,49047
ER,49029,   9,   8
EC,1726,48322,   0,50049
ER,50031,   9,   8
EC,1751,49297,   0,51049
ER,51031,   9,   8
EC,1782,50267,   0,52050
ER,52032,   9,   8
EC,1820,51230,   0,53050
ER,53032,   9,   8
EC,1842,52209,   0,54051
ER,54033,   9,   8
