[INFO: Main      ] Starting Contiki-NG-release/v4.6-69-g3607926aa-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4b00.1204.dc39
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:dc39
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
inicio:19300
Press a button to request /test/hello
EC,1020,   0,   0,1021
ER,1012,   0,   8
ep: coap://[fd00::212:4b00:a55:dd05], 0
seguro 1: 932996
i,37134,933100,933112
|oximeter
es un oximetro jeje
n,37135,939020,939036
o,24,37135,943672l
o,24,57122,946380l
o,24,57123,953042l
o,24,57124,958168l
o,24,57125,964830l
o,24,57126,973028l
o,24,57127,978154l
o,24,57128,985332l
o,24,57129,993526l
o,24,57130,999166l
o,24,57131,1007362l
o,24,57132,1011118l
o,24,57133,1019664l
o,24,57134,1025810l
o,24,57135,1034010l
o,24,57136,1040670l
o,24,57137,1045796l
o,24,57138,1051948l
o,24,57139,1060144l
o,24,57140,1065784l
n,57141,1072958,1072972
5,24,57141,1073114l
o,24,57142,1079622l
o,24,57143,1084400l
o,24,57144,1093842l
o,24,57145,1099992l
o,24,57146,1107678l
o,24,57147,1113828l
o,24,57148,1119468l
o,24,57149,1125616l
o,24,57150,1133302l
o,24,57151,1138080l
o,24,57152,1147648l
o,24,57153,1154312l
o,24,57154,1158924l
o,24,57155,1165074l
o,24,57156,1174296l
o,24,57157,1178398l
o,24,57158,1186084l
o,24,57159,1191722l
o,24,57160,1198038l
n,57161,1204596,1204612
I,24,57161,1204754l
o,24,57162,1211260l
o,24,57163,1219802l
o,24,57164,1226976l
o,24,57165,1234152l
o,24,57166,1239278l
o,24,57167,1247474l
o,24,57168,1252090l
o,24,57169,1259264l
o,24,57170,1265926l
o,24,57171,1272588l
o,24,57172,1279248l
o,24,57173,1284538l
o,24,57174,1293596l
o,24,57175,1299232l
o,24,57176,1305382l
o,24,57177,1313070l
o,24,57178,1320756l
o,24,57179,1324510l
EC,1429, 592,   0,2022
ER,2012,   1,   8
o,24,57180,1332950l
n,57181,1340638,1340652
],24,57181,1340794l
o,24,57182,1345920l
o,24,57183,1352068l
o,24,57184,1360780l
o,24,57185,1365906l
o,24,57186,1373592l
o,24,57187,1379742l
o,24,57188,1387428l
o,24,57189,1391182l
o,24,57190,1399506l
o,24,57191,1404634l
o,24,57192,1411294l
o,24,57193,1418468l
o,24,57194,1425130l
o,24,57195,1431792l
o,24,57196,1439478l
o,24,57197,1445628l
o,24,57198,1451780l
o,24,57199,1459976l
o,24,57200,1465102l
n,57201,1470904,1470918
q,24,57201,1471060l
o,24,57202,1479962l
o,24,57203,1484578l
o,24,57204,1493288l
o,24,57205,1497900l
o,24,57206,1505074l
o,24,57207,1512760l
o,24,57208,1519422l
o,24,57209,1527108l
o,24,57210,1533770l
o,24,57211,1538898l
o,24,57212,1547094l
o,24,57213,1552734l
o,24,57214,1558884l
o,24,57215,1567082l
o,24,57216,1570834l
o,24,57217,1577334l
o,24,57218,1586390l
o,24,57219,1590656l
o,24,57220,1600224l
n,57221,1604328,1604342
�,24,57221,1604484l
