19628052,19628070
o,31950,19628052,0,0,19628242
encrypt, 19638298,19638316
o,31951,19638296,0,0,19638488
encrypt, 19648544,19648562
o,31952,19648544,0,0,19648734
encrypt, 19658770,19658788
o,31953,19658768,0,0,19658960
encrypt, 19669018,19669036
o,31954,19669018,0,0,19669208
encrypt, 19679266,19679284
o,31955,19679264,0,0,19679456
EC,1333,28703,   0,30037
ER,29266, 763,   8
encrypt, 19689486,19689504
o,31956,19689484,0,0,19689676
encrypt, 19699732,19699750
o,31957,19699730,0,0,19699922
encrypt, 19709966,19709984
o,31958,19709966,0,0,19710156
encrypt, 19720216,19720234
o,31959,19720214,0,0,19720406
encrypt, 19730462,19730480
o,31960,19730460,0,0,19730652
encrypt, 19740708,19740726
o,31961,19740708,0,0,19740898
encrypt, 19750954,19750972
o,31962,19750[INFO: Main      ] Starting Contiki-NG-release/v4.6-69-g3607926aa-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56581
[INFO: Main      ] Link-layer address: 0012.4b00.0a55.dd05
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:a55:dd05
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
o,22858,630088,630098
o,22859,636392,636404
o,49605,636542,636554
o,49606,637972,637982
o,49607,639512,639522
o,49608,641054,641066
o,49609,642594,642604
o,49610,644134,644144
o,49611,645674,645684
o,49612,647214,647224
o,49613,648756,648768
o,49614,650296,650306
o,49615,651838,651848
o,49616,653378,653388
o,49617,654918,654928
o,49618,656460,656470
o,49619,658000,658010
o,49620,659540,659552
o,49621,661080,661090
o,49622,662620,662630
o,49623,664074,664084
o,49624,665614,665624
o,49625,667156,667166
o,49626,668696,668706
o,49627,670236,670246
o,49628,671776,671786
o,49629,673316,673326
EC,  39, 982,   0,1021
ER,1006,   6,   8
o,49630,674858,674870
o,49631,676400,676410
o,49632,677940,677952
o,49633,679644,679656
o,49634,681184,681196
o,49635,682724,682736
o,49636,684266,684278
o,49637,685806,685816
o,49638,687348,687358
o,49639,688888,688898
o,49640,690430,690440
