0965486
EC,3602,59453,   0,63055
ER,63035,  11,   8
encrypt, 41843994,41844004
S,47557,41843992,0,0,41844174
EC,3644,60412,   0,64056
ER,64036,  12,   8
EC,3689,61367,   0,65056
ER,65036,  12,   8
EC,3739,62317,   0,66057
ER,66037,  12,   8
encrypt, 43600352,43600362
S,47557,43600350,0,0,43600532
EC,3764,63293,   0,67057
ER,67015,  34,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main     [INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  24, 997,   0,1021
ER,1011,   1,   8
decrypt, 684464,684476
encrypt, 684792,684802
htfin:684950
#,#decrypt, 692144,692156
encrypt, 692296,692306
p,21485,692296,0,0,692454
EC,  31,1990,   0,2022
ER,2009,   3,   8
EC,  34,2988,   0,3022
ER,3010,   4,   8
EC,  38,3985,   0,4023
ER,4010,   4,   8
EC,  41,4982,   0,5024
ER,5011,   4,   8
EC,  53,5971,   0,6024
ER,6011,   4,   8
EC,  61,6962,   0,7024
ER,7011,   4,   8
EC,  66,7959,   0,8025
ER,8012,   5,   8
EC,  69,8956,   0,9026
ER,9012,   5,   8
EC,  73,9953,   0,10026
ER,10013,   5,   8
EC,  77,10949,   0,11027
ER,11013,   5,   8
EC,  84,11942,   0,12027
ER,12013,   5,   8
EC,  93,12934,   0,13028
ER,13014,   5,   8
EC,  97,13931,   0,14029
ER,14015,   5,   8
EC, 100,14928,   0,15029
ER,15015,   5,   8
EC, 105,15924,   0,16029
ER,16015,   5,   8
EC, 109,16921,   0,17030
ER,17016,   5,   8
EC, 113,17917,   0,18031
ER,18017,   5,   8
EC, 118,18912,   0,19031
ER,19017,   6,   8
EC, 122,19909,   0,20032
ER,20017,   6,   8
EC, 125,20906,   0,21032
ER,21018,   6,   8
EC, 129,21903,   0,22033
ER,22019,   6,   8
EC, 135,22898,   0,23034
ER,23019,   6,   8
EC, 140,23894,   0,24034
ER,24019,   6,   8
EC, 143,24891,   0,25035
ER,25020,   6,   8
EC, 148,25887,   0,26035
ER,26020,   6,   8
EC, 152,26883,   0,27036
ER,27021,   6,   8
EC, 158,27878,   0,28036
ER,28021,   6,   8
EC, 164,28872,   0,29037
ER,29022,   6,   8
EC, 168,29869,   0,30037
ER,30022,   6,   8
EC, 172,30866,   0,31038
ER,31022,   7,   8
decrypt, 20357272,20357282
llego jejeje
encrypt, 20357520,20357526
n,21493,20357518,0,0,20357696
encrypt, 20357878,20357888
S,55644,20357878,0,0,20358058
encrypt, 20642134,20642144
S,55644,20642132,0,0,20642316
EC, 178,31860,   0,32039
ER,32022,   8,   8
encrypt, 21209500,21209510
S,55644,21209498,0,0,21209680
EC, 183,32856,   0,33039
ER,33022,   8,   8
EC, 189,33850,   0,34039
ER,34023,   8,   8
encrypt, 22342870,22342880
S,55644,22342868,0,0,22343050
EC, 198,34842,   0,35040
ER,35023,   8,   8
EC, 202,35838,   0,36041
ER,36024,   8,   8
EC, 206,36835,   0,37041
ER,37024,   8,   8
encrypt, 24609744,24609754
S,55644,24609742,0,0,24609924
EC, 210,37832,   0,38042
ER,38024,   8,   8
EC, 213,38829,   0,39042
ER,39025,   8,   8
EC, 217,39825,   0,40043
ER,40025,   8,   8
EC, 221,40821,   0,41043
ER,41026,   9,   8
EC, 226,41817,   0,42044
ER,42026,   9,   8
EC, 231,42813,   0,43044
ER,43026,   9,   8
EC, 234,43810,   0,44045
ER,44027,   9,   8
EC, 238,44807,   0,45046
ER,45028,   9,   8
EC, 241,45805,   0,46046
ER,46028,   9,   8
EC, 245,46801,   0,47046
ER,47028,   9,   8
EC, 249,47797,   0,48047
ER,48029,   9,   8
EC, 254,48794,   0,49048
ER,49030,   9,   8
EC, 257,49791,   0,50048
ER,50030,  10,   8
EC, 261,50788,   0,51049
ER,51031,  10,   8
EC, 265,51784,   0,52050
ER,52031,  10,   8
EC, 272,52778,   0,53050
ER,53032,  10,   8
EC, 275,53775,   0,54051
ER,54032,  10,   8
EC, 280,54771,   0,55051
ER,55033,  10,   8
EC, 284,55768,   0,56052
ER,56033,  10,   8
EC, 288,56764,   0,57052
ER,57034,  10,   8
EC, 292,57761,   0,58053
ER,58034,  10,   8
EC, 295,58758,   0,59053
ER,59035,  10,   8
