TT,07,29,21,00,00,25,852988
875,122507386,0,0,122507582
EC,3119,184004,   0,187123
ER,187089,  26,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node [INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  23, 998,   0,1022
ER,1013,   0,   8
EC,  25,1996,   0,2022
ER,2014,   0,   8
EC,  29,2993,   0,3023
ER,3013,   1,   8
decrypt, 2276124,2276138
encrypt, 2276466,2276480
htfin:2276638
#,#decrypt, 2289154,2289168
encrypt, 2289320,2289332
p,57416,2289320,0,0,2289490
EC,  37,3986,   0,4023
ER,4010,   4,   8
EC,  41,4983,   0,5024
ER,5011,   4,   8
EC,  44,5979,   0,6024
ER,6010,   5,   8
EC,  48,6976,   0,7025
ER,7011,   5,   8
EC,  53,7972,   0,8025
ER,8011,   5,   8
EC,  59,8966,   0,9025
ER,9012,   5,   8
EC,  62,9964,   0,10026
ER,10013,   5,   8
EC,  66,10960,   0,11027
ER,11013,   5,   8
EC,  71,11956,   0,12027
ER,12013,   5,   8
EC,  75,12952,   0,13028
ER,13013,   6,   8
EC,  80,13949,   0,14029
ER,14014,   6,   8
EC,  84,14945,   0,15029
ER,15014,   6,   8
