TT,07,29,21,02,59,58,384383
,   0,182121
ER,177508,4604,   8
llego jejeje
n,51122,119946398,119946410
S,55839,119946576,119946588
EC,9478,173643,   0,183121
ER,178508,4604,   8
S,55839,120163398,120163410
S,55839,120596680,120596692
EC,9487,174634,   0,184122
ER,179508,4605,   8
EC,9496,175627,   0,185123
ER,180509,4605,   8
S,55839,121463276,121463288
EC,9505,176618,   0,186123
ER,181509,4605,   8
EC,9513,177610,   0,187124
ER,182510,4605,   8
[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56581
[INFO: Main      ] Link-layer address: 0012.4b00.0a55.dd05
[INFO: [INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Mÿ[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56581
[INFO: Main      ] Link-layer address: 0012.4b00.0a55.dd05
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:a55:dd05
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  23, 998,   0,1022
ER,1013,   0,   8
EC,  25,1996,   0,2022
ER,2013,   0,   8
EC,  28,2993,   0,3022
ER,3012,   1,   8
o,10424,2161796,2161808
o,10425,2164856,2164870
o,36015,2168844,2168858
o,36016,2175508,2175522
o,36017,2182172,2182186
o,36018,2188834,2188846
o,36019,2195496,2195510
o,36020,2202158,2202172
o,36021,2208820,2208834
o,36022,2215484,2215496
o,36023,2222144,2222156
o,36024,2228806,2228820
o,36025,2235468,2235482
o,36026,2242130,2242142
o,36027,2248792,2248806
o,36028,2255454,2255466
o,36029,2262116,2262128
o,36030,2268778,2268790
o,36031,2275440,2275452
o,36032,2282104,2282116
o,36033,2288764,2288778
o,36034,2295426,2295440
o,36035,2302340,2302352
o,36036,2309140,2309154
o,36037,2315802,2315816
o,36038,2322464,2322478
o,36039,2329126,2329138
o,36040,2335790,2335802
o,36041,2342452,2342464
o,36042,2349630,2349642
o,36043,2356292,2356304
o,36044,2362954,2362966
o,36045,2369616,2369628
o,36046,2376278,2376290
o,36047,2382940,2382952
o,36048,2389602,2389614
o,36049,2396264,2396276
o,36050,2402926,2402938
o,36051,2409484,2409496
o,36052,2416662,2416674
o,36053,2423326,2423338
o,36054,2429988,2430000
o,36055,2436652,2436664
o,36056,2443316,2443328
o,36057,2449978,2449990
o,36058,2456640,2456652
o,36059,2463244,2463256
o,36060,2469906,2469918
o,36061,2476568,2476580
o,36062,2483746,2483758
o,36063,2490408,2490420
o,36064,2497068,2497080
o,36065,2503728,2503740
o,36066,2510390,2510402
o,36067,2517050,2517062
o,36068,2523712,2523724
o,36069,2530374,2530386
o,36070,2537036,2537048
o,36071,2543698,2543710
o,36072,2550876,2550888
o,36073,2557538,2557550
o,36074,2564200,2564212
o,36075,2570862,2570874
o,36076,2578040,2578052
o,36077,2584702,2584714
o,36078,2591364,2591376
o,36079,2598026,2598038
o,36080,2604688,2604700
o,36081,2611350,2611362
o,36082,2618528,2618540
o,36083,2625190,2625202
o,36084,2631854,2631866
o,36085,2638516,2638528
EC,  60,3963,   0,4023
ER,3988,  26,   8
o,36086,2645180,2645192
o,36087,2651842,2651854
o,36088,2658316,2658328
o,36089,2664978,2664990
o,36090,2671640,2671652
o,36091,2678300,2678312
o,36092,2685480,2685492
o,36093,2692144,2692156
o,36094,2698806,2698818
,36095,2705472,2705484
o,36096,2712134,2712146
o,36097,2718796,2718808
o,36098,2725458,2725470
o,36099,2732120,2732132
o,36100,2738782,2738794
o,36101,2745448,2745460
o,36102,2752626,2752638
o,36103,2759288,2759300
o,36104,2765950,2765962
o,36105,2772612,2772624
o,36106,2779274,2779286
o,36107,2785936,2785948
o,36108,2792598,2792610
o,36109,2799260,2799272
o,36110,2805772,2805784
o,36111,2812434,2812446
o,36112,2819612,2819624
o,36113,2826272,2826284
o,36114,2832934,2832946
o,36115,2839596,2839608
o,36116,2846258,2846270
o,36117,2852918,2852930
o,36118,2859580,2859592
o,36119,2866240,2866252
o,36120,2872902,2872914
o,36121,2879564,2879576
