TT,07,29,21,03,31,28,462760
ing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Nÿ[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 65491
[INFO: Main      ] Link-layer address: 0012.4b00.1204.ffd3
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:ffd3
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  22, 999,   0,1021
ER,1013,   0,   8
EC,  24,1997,   0,2022
ER,2014,   0,   8
EC,  27,2995,   0,3023
ER,3014,   0,   8
p,28926,2502900,2502912
EC,  30,3992,   0,4023
ER,4012,   2,   8
EC,  33,4990,   0,5023
ER,5012,   3,   8
EC,  37,5987,   0,6024
ER,6012,   3,   8
EC,  39,6985,   0,7025
ER,7013,   3,   8
EC,  41,7983,   0,8025
ER,8013,   3,   8
EC,  44,8981,   0,9025
ER,9013,   3,   8
EC,  47,9979,   0,10026
ER,10014,   3,   8
EC,  51,10975,   0,11026
ER,11014,   3,   8
EC,  54,11973,   0,12027
ER,12015,   3,   8
EC,  56,12971,   0,13028
ER,13015,   4,   8
EC,  59,13969,   0,14029
ER,14016,   4,   8
EC,  61,14967,   0,15029
ER,15016,   4,   8
EC,  65,15964,   0,16029
ER,16016,   4,   8
EC,  68,16962,   0,17030
ER,17017,   4,   8
EC,  71,17959,   0,18031
ER,18018,   4,   8
EC,  73,18957,   0,19031
ER,19018,   4,   8
EC,  76,19955,   0,20032
ER,20019,   4,   8
EC,  78,20953,   0,21032
ER,21019,   4,   8
EC,  81,21951,   0,22033
ER,22020,   4,   8
EC,  84,22949,   0,23033
ER,23021,   4,   8
EC,  86,23947,   0,24034
ER,24021,   4,   8
EC,  90,24944,   0,25035
ER,25021,   4,   8
EC,  93,25942,   0,26035
ER,26021,   5,   8
EC,  96,26940,   0,27036
ER,27022,   5,   8
EC,  98,27937,   0,28036
ER,28022,   5,   8
EC, 101,28936,   0,29037
ER,29023,   5,   8
EC, 104,29933,   0,30037
ER,30023,   5,   8
EC, 109,30929,   0,31038
ER,31024,   5,   8
EC, 111,31927,   0,32038
ER,32024,   5,   8
