TT,07,28,21,14,30,50,430977
elease/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID[INFO: Main      ] Starting Contiki-NG-release/v4.6-70-g9ff7b4bdb-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 26
[INFO: Main      ] Node ID: 56377
[INFO: Main      ] Link-layer address: 0012.4b00.1204.dc39
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1204:dc39
[INFO: CC26xx/CC13xx] TI CC2650 SensorTag
[INFO: CC26xx/CC13xx]  RF: Channel 26, PANID 0xABCD
EC,  24, 997,   0,1022
ER,1012,   1,   8
decrypt, 1061346,1061358
encrypt, 1061684,1061696
htfin:1061856
#,#decrypt, 1066428,1066440
encrypt, 1066594,1066604
t,65088,1066592,0,0,1066762
EC,  32,1990,   0,2022
ER,2009,   4,   8
EC,  35,2987,   0,3023
ER,3009,   4,   8
EC,  38,3985,   0,4023
ER,4010,   5,   8
EC,  41,4983,   0,5024
ER,5010,   5,   8
EC,  43,5981,   0,6024
ER,6011,   5,   8
EC,  48,6976,   0,7024
ER,7010,   5,   8
decrypt, 5001230,5001244
encrypt, 5001398,5001406
t,65090,5001396,0,0,5001564
EC,  53,7972,   0,8025
ER,8010,   6,   8
EC,  56,8969,   0,9025
ER,9011,   6,   8
EC,  59,9967,   0,10026
ER,10011,   6,   8
EC,  62,10965,   0,11027
ER,11013,   6,   8
EC,  65,11961,   0,12027
ER,12012,   6,   8
EC,  68,12959,   0,13028
ER,13013,   6,   8
decrypt, 8933966,8933980
encrypt, 8934134,8934142
t,65091,8934132,0,0,8934300
EC,  72,13956,   0,14028
ER,14013,   6,   8
EC,  74,14954,   0,15029
ER,15014,   6,   8
EC,  77,15952,   0,16029
ER,16014,   6,   8
EC,  79,16951,   0,17030
ER,17015,   6,   8
EC,  81,17949,   0,18030
ER,18015,   6,   8
EC,  84,18947,   0,19031
ER,19016,   6,   8
decrypt, 12868196,12868208
encrypt, 12868374,12868382
t,65092,12868372,0,0,12868554
EC,  87,19944,   0,20032
ER,20016,   7,   8
EC,  90,20941,   0,21032
ER,21016,   7,   8
EC,  93,21939,   0,22033
ER,22017,   7,   8
EC,  96,22937,   0,23033
ER,23017,   7,   8
EC,  99,23934,   0,24034
ER,24018,   7,   8
EC, 104,24930,   0,25035
ER,25019,   7,   8
decrypt, 16803462,16803474
encrypt, 16803640,16803648
t,65093,16803638,0,0,16803818
EC, 109,25926,   0,26035
ER,26018,   8,   8
EC, 113,26922,   0,27035
ER,27018,   8,   8
EC, 118,27918,   0,28036
ER,28019,   8,   8
EC, 123,28913,   0,29036
ER,29019,   8,   8
EC, 127,29910,   0,30037
ER,30020,   8,   8
EC, 134,30903,   0,31037
ER,31021,   8,   8
decrypt, 20730474,20730488
encrypt, 20730652,20730662
t,65094,20730650,0,0,20730832
EC, 139,31899,   0,32038
ER,32021,   8,   8
EC, 141,32897,   0,33039
ER,33022,   8,   8
EC, 144,33895,   0,34039
ER,34022,   8,   8
EC, 146,34894,   0,35040
ER,35023,   8,   8
EC, 148,35891,   0,36040
ER,36023,   8,   8
EC, 151,36890,   0,37041
ER,37024,   8,   8
decrypt, 24665796,24665810
encrypt, 24665974,24665984
t,65096,24665974,0,0,24666154
EC, 155,37886,   0,38042
ER,38024,   9,   8
EC, 157,38884,   0,39042
ER,39024,   9,   8
EC, 160,39882,   0,40043
ER,40025,   9,   8
EC, 162,40880,   0,41043
ER,41025,   9,   8
EC, 165,41878,   0,42044
ER,42026,   9,   8
EC, 167,42876,   0,43044
ER,43026,   9,   8
decrypt, 28596984,28596998
encrypt, 28597162,28597172
t,65097,28597160,0,0,28597342
EC, 171,43873,   0,44045
ER,44026,  10,   8
EC, 173,44872,   0,45045
ER,45027,  10,   8
EC, 176,45870,   0,46046
ER,46028,  10,   8
EC, 179,46867,   0,47046
ER,47028,  10,   8
EC, 182,47864,   0,48047
ER,48028,  10,   8
EC, 185,48862,   0,49048
ER,49029,  10,   8
decrypt, 32527136,32527148
encrypt, 32527314,32527322
t,65098,32527312,0,0,32527492
EC, 188,49859,   0,50048
ER,50029,  10,   8
EC, 191,50857,   0,51048
ER,51030,  10,   8
EC, 194,51855,   0,52049
ER,52030,  10,   8
EC, 197,52853,   0,53050
ER,53031,  10,   8
EC, 200,53850,   0,54050
ER,54031,  10,   8
EC, 202,54848,   0,55051
ER,55032,  10,   8
decrypt, 36459154,36459168
encrypt, 36459332,36459342
t,65099,36459330,0,0,36459512
EC, 206,55845,   0,56051
ER,56032,  11,   8
EC, 209,56843,   0,57052
ER,57032,  11,   8
EC, 215,57836,   0,58052
ER,58032,  11,   8
EC, 220,58833,   0,59053
ER,59034,  11,   8
